locationID,sensor,stationID,yCH1903+,xCH1903+,latDecimal,lonDecimal,masl,streetName,poleNumber,distance_to_building_m,shade,LCZ,installationDate,functionCheck,notes
I8_Zürich-Rosengartenstrasse,LoRain,03400107,2682085.0,1249922.0,47.395,8.52592,431,Rosengartenstrasse,"11,2",5,,2,2019-06-21 12:55:00,,"Kommunikationsprobleme, am 22.08.2024 entfernt und mit Barani 2401LH043 ersetzt"
I8_Zürich-Rosengartenstrasse,Barani,2401LH043,2682085.0,1249922.0,47.395,8.52592,431,Rosengartenstrasse,"11,2",5,,2,2024-08-22 10:15:00,ok,
I11,LoRain,03400129,2682276.0,1248527.0,47.38243,8.5282,409,Röntgenstrasse,,15,,2(E ),2019-06-21 11:10:00,,"Verschiebung um 100m nach Osten, Wiederholter Vandalismus -> am 28.06.2022 entfernt"
I11,LoRain,03400129,2682263.0,1248554.0,47.38268,8.52803,409,Röntgenstrasse,,15,,2(E ),2022-11-29 10:00:00,,Mit Ersatzteilen aus anderen Stationen wiederhergerichtet und einen Masten weiter (30m nordwestlich) wieder montiert
I14,LoRain,03400120,2682344.0,1247025.0,47.36892,8.52882,413,Sihlhölzlistrasse,12,25,Laterne,2(G),2019-07-02 11:20:00,,
I17,LoRain,034000EA,2682541.0,1245455.0,47.35477,8.53114,431,Bellariastrasse,2,20,,5,2019-07-02 11:55:00,,Am 24.04.2023 entfernt.
I17,Barani,2212LH017,2682541.0,1245455.0,47.35477,8.53114,431,Bellariastrasse,2,20,,5,2023-04-24 14:00:00,,
I20,LoRain,0340012C,2682649.0,1244063.0,47.34224,8.53231,444,Auf der Egg,19,10,Laterne,9(5),2019-07-02 13:15:00,,
J4,LoRain,034000E2,2682264.0,1251997.0,47.41364,8.52868,445,Binzmühlestrasse,71,5,,6,2019-06-19 14:50:00,,
J4,Barani,2211LH037,2682264.0,1251997.0,47.41364,8.52868,445,Binzmühlestrasse,71,5,,6,2023-03-17 11:15:00,,LoRain ersetzt durch Barani
J7,LoRain,03400118,2682533.0,1250556.0,47.40065,8.53197,475,Käferholzstrasse,8,8,,5(A),2019-06-19 11:45:00,,
J10,LoRain,034000FD,2682627.0,1249074.0,47.38731,8.53295,409,Kloster-Fahr-Weg,8,10,Laterne,5(6/G),2019-06-21 11:35:00,,
J10,Barani,2212LH029,2682627.0,1249074.0,47.38731,8.53295,409,Kloster-Fahr-Weg,8,10,Laterne,5(6/G),2023-07-24 13:00:00,,
J13,LoRain,034000D0,2682788.0,1247525.0,47.37336,8.53479,410,Löwenstrasse/Nüschelerstrasse,4,10,,2,2019-07-29 09:20:00,,
J13,LoRain,0340D1EA,2682788.0,1247525.0,47.37336,8.53479,410,Löwenstrasse/Nüschelerstrasse,4,10,,2,2021-11-18 10:00:00,,
J13,Barani,2212LH022,2682788.0,1247525.0,47.37336,8.53479,410,Löwenstrasse/Nüschelerstrasse,4,10,,2,2023-03-15 13:00:00,,LoRain durch Barani ersetzt
J16,LoRain,03400116,2682976.0,1246084.0,47.36037,8.53701,406,Hafen Enge,,>100,,G,2019-07-29 10:15:00,,"""mit Kabelbinder an Fahnenmast montiert """
J22,LoRain,034000E0,2683256.0,1243110.0,47.33359,8.54017,442,Kilchbergstrasse,57,15,,6,2019-07-02 14:00:00,,
K3,LoRain,03400105,2682797.0,1252620.0,47.41918,8.53585,452,Himmeristrasse,6,15,,5,2019-06-19 14:40:00,,
K3,Barani,2211LH021,2682797.0,1252620.0,47.41918,8.53585,452,Himmeristrasse,6,15,,5,2023-03-17 11:45:00,,LoRain ersetzt durch Barani
K6,LoRain,03400101,2682941.0,1251140.0,47.40585,8.53749,456,Hofwiesenstrasse (Nord),,8,,5,2019-06-19 12:00:00,,"""Verschiebung um 80m nach Nordosten """
K9,LoRain,034000DC,2683044.0,1249585.0,47.39185,8.53856,459,Hofwiesenstrasse (süd),17,20,,2,2019-06-21 11:50:00,,
K10_Zürich-Stampfenbachstrasse,LoRain,03400109,2683144.0,1249055.0,47.387,8.53979,442,Stampfenbachstrasse,,5,,2,2019-07-29 14:25:00,,
K12,LoRain,0340012D,2683208.0,1248119.0,47.37865,8.54046,408,Museumstrasse,,10,,2,2019-07-29 09:00:00,,"Kommunikationsprobleme, entfernt und ersetzt am 31.01.2024 mit Barani 2401LH042"
K12,Barani,2401LH042,2683208.0,1248119.0,47.37865,8.54046,408,Museumstrasse,,10,,2,2024-01-31 11:30:00,ok,Montiert an gleicher Stelle wie LoRain 
K15,LoRain,034000D1,2683340.0,1246675.0,47.36564,8.54194,406,Bootsanleger Bürkliplatz,25,>100,,G,2019-07-29 10:30:00,,
L2,LoRain,034000CE,2683151.0,1253164.0,47.42402,8.54064,443,Seebacherstrasse,7,15,Laterne,5,2019-06-19 14:25:00,,
L2,Barani,2212LH028,2683151.0,1253164.0,47.42402,8.54064,443,Seebacherstrasse,7,15,Laterne,5,2023-03-17 12:15:00,,
L5,LoRain,034000EC,2683283.0,1251667.0,47.41055,8.54212,442,Hofwiesenstrasse (Bhf Oerlikon),,25,,E(1/2),2019-06-19 13:05:00,,Am 04.12.2019 verschwunden (Grossbaustelle)
L5,LoRain,03400110,2683283.0,1251667.0,47.41055,8.54212,442,Hofwiesenstrasse (Bhf Oerlikon),,25,,E(1/2),2020-04-29 13:05:00,,40m südwestlich neu montiert.
L8_AWEL-Irchelpark,LoRain,034000F3,2683531.0,1250190.0,47.39723,8.54512,489,Irchelpark,K27,25,,9,2019-06-21 12:25:00,,"""Verschiebung um 70m nach Nord(-westen) """
L11,LoRain,034000FB,2683647.0,1248676.0,47.3836,8.54638,473,Stapferstrasse,7,10,,5(2),2019-07-29 14:15:00,,"Seit Anfang 2021 Batterieproblem, zudem Daten sehr suspekt (viel zu hoch)"
L11,LoRain,0340D1FA,2683647.0,1248676.0,47.3836,8.54638,473,Stapferstrasse,7,10,,5(2),2021-08-25 14:30:00,,
L11,Barani,2212LH027,2683647.0,1248676.0,47.3836,8.54638,473,Stapferstrasse,7,10,,5(2),2023-09-01 13:00:00,,
L14,LoRain,0340010C,2683831.0,1247155.0,47.3699,8.54853,423,Rämistrasse,22,5,,2,2019-07-29 13:25:00,,Am 22.08.2024 mit Barani 2401LH038 ersetzt
